gene
ACTG1
ATF3
BRD2
BTG2
CCNL1
DDX5
DNAJA1
DNAJB4
DUSP1
EGR1
EGR2
ERRFI1
FOS
FOSB
GADD45G
H3F3B
HSP90AA1
HSPA1A
HSPA8
HSPB1
IER2
IER3
IFRD1
JUN
JUNB
KLF6
MT1A
MYD88
NFKBIA
NFKBIZ
NOP58
NR4A1
PNRC1
PPP1R15A
SAT1
SOCS3
SQSTM1
TRIB1
UBC
ZFP36
ZFP36L1
CSF3
GAL
NPY
HSPA1B
CXCL1
DNAJB1
BDKRB1
ADAMTS4
FOSL1
IL6
JUND
IDO2
ST8SIA2
SELE
1700029H14RIK
EGR3
HSPH1
GDF15
GM13889
CLCF1
CCL2
SOCS1
D930032P07RIK
PDPN
TMSB10
CATSPERD
CREB3L3
UTP14B
SELP
BCL3
SLC4A11
CFAP45
EPHX3
CCL7
LIF
PTK6
HAS1
CXCL2
CRTAM
RPS27
WDR95
RND1
RTN4RL2
UPP1
TNFAIP6
IKZF4
POU2F3
NFKBIE
MYC
CADM4
ISG15
MIRG
CSRNP1
KCNMB3
CD63
IFITM3
PLAUR
FNDC4
MT2
PTGS2
CXCL3
MAFF
MAP2
ITPKC
MLANA
MARCKSL1
ISG20
FXYD4
TNFRSF12A
MSC
CCDC38
LMNA
ARID5A
GM5475
NBL1
TUBB6
MYOD1
BAMBI
TNFAIP3
SBNO2
SPON2
GM1305
TAGLN2
PLK3
B230216N24RIK
TM4SF1
MANF
RPL31
RAB20
GADD45B
RPL9
ROR2
ERF
HID1
RPL19
PLEK2
RPS29
NUP210L
GPRC5A
BEST1
F2R
RPL12
TNF
TNFSF9
EMP3
HSPA5
MT1
DUSP5
RAD54L
ID1
RPL11
PLEKHG6
PMEPA1
CCL4
TGIF1
GAS2L1
FAU
ABHD2
RELB
SIAH2
CRLF2
NECTIN2
RASL11A
DPY19L3
RPL10A
NFE2
CXCL10
UBASH3B
B2M
UCK2
SPRY4
SDCBP2
CFL1
DTL
UHRF1
RPS6
PHGDH
GRIP2
RUNX1
GRASP
TATDN2
RPL36
OSGIN1
CD9
CHPF
TIMP1
IRF7
NGF
NTF3
1700011H14RIK
FSCN1
MCM5
IGF2BP2
ZC3H12A
PMAIP1
CLIC1
FRMD6
TFPI2
S100A10
VEGFC
CHRNA9
LITAF
RPS27A
ICAM1
GRHL1
STX11
UBB
4930427A07RIK
S100A6
ARL4D
RPL27
ITGA11
POLN
BLNK
RRAD
RPS17
PTMA
1700066B19RIK
PSAT1
BTG3
S100A11
TNC
SNRPF
TUBB2A
PLAT
RALGDS
FSTL3
PVR
GSAP
MTFR2
SDC1
KLF16
NFKB2
CSTB
TNFRSF9
SOX9
CEBPB
ARRDC2
TXNIP
ZBTB16
FOXO1
KLF15
DDIT4
TSC22D3
KLHL33
ZFP763
PPARA
NCTC1
GPR157
FGF1
ZFP729B
RABEP2
ZFP963
ZFP867
ZFP691
RBM24
TRP53INP1
LPIN1
MYF6
ZFP770
MAF
FKBP5
BCL2L1
NET1
4632427E13RIK
MYLK2
ACOT2
BC002059
ZFP119B
PRICKLE3
4632415L05RIK
ZFP874A
FAM160B1
ZBTB6
ZFP65
FAM126B
TTC30B
MTX3
LIPE
JRKL
MFSD4B3
METTL18
ZBTB26
MED18
ACTR6
NUDT18
ZFP935
PDE7A
HIST1H4I
GPT2
HPS6
ABCA1
CDKN1B
KLHL28
XIAP
METTL7A1
RAB30
EHHADH
TMEM69
USP2
ZSCAN26
AW146154
MTSS1
ZFP708
BTLA
PROB1
ZFP959
SLC33A1
AP5S1
E130102H24RIK
PAG1
ALPK3
DDX28
MS4A6C
ZFP617
ZFP738
FAM76B
ZFP874B
SENP8
NPR3
ZFP799
CCDC51
THRB
CYP27A1
ZFP955B
ZFP784
IL15RA
ZSCAN12
ORC5
LIPT2
TEFM
ZFP128
SLC38A3
LYPLAL1
FAM214A
ZFP994
ZFP870
ZFP931
MALT1
ZFP292
RANBP6
IRF2BP2
GPR146
TTPA
ZFP322A
TMEM245
THTPA
ZKSCAN14
ZDHHC24
H19
CPOX
FIBIN
SESN1
HS1BP3
TEF
PRKAR2B
TMEM233
CCDC6
SFT2D3
SEC31B
NUPL2
CFAP97
ZKSCAN3
ZFP729A
ACACB
ERCC5
TRIM12C
A330023F24RIK
MSANTD4
INHA
BIVM
MLLT10
IDH1
ZFP748
TMEM140
ZFP112
GM15910
ENOX2
ZFP449
UCKL1OS
ZFP54
CHAC2
ZFP952
SNX16
PGM2L1
GOLPH3L
MLH3
TMEM52
AMOTL1
GIN1
ZFP318
CREBL2
ATP1A2
ZFP518A
2610008E11RIK
FBXO8
TMEM18
RYR1
MAPK1IP1
PSKH1
ZFP764
LPL
CLDN12
SREK1IP1
PUS10
HOMEZ
BCL6
CCDC126
ASXL2
C1GALT1C1
