gene
MT-ATP6
MT-ATP8
MT-CO1
MT-CO2
MT-CO3
MT-CYB
MT-ND1
MT-ND2
MT-ND3
MT-ND4
MT-ND4L
MT-ND5
MT-ND6
MT-RNR1
MT-RNR2
MT-TA
MT-TC
MT-TD
MT-TE
MT-TF
MT-TG
MT-TH
MT-TI
MT-TL1
MT-TL2
MT-TM
MT-TN
MT-TP
MT-TQ
MT-TR
MT-TS1
MT-TS2
MT-TT
MT-TV
MT-TW
MT-TY
MTND1P11
MTND1P15
MTND1P23
MTND1P32
MTND1P5
MTND2P13
MTND2P2
MTND2P28
MTND2P32
MTND2P5
MTND3P10
MTND3P12
MTND3P19
MTND3P25
MTND4LP30
MTND4P12
MTND4P14
MTND4P16
MTND4P24
MTND4P32
MTND4P35
MTND4P9
MTND5P1
MTND5P10
MTND5P11
MTND5P12
MTND5P14
MTND5P15
MTND5P2
MTND5P25
MTND5P26
MTND5P3
MTND5P32
MTND5P33
MTND5P5
MTND6P3
MTND6P4
MTND6P5
MTATP6P1
MTATP6P11
MTATP6P2
MTATP6P26
MTATP6P3
MTATP6P9
MTATP8P1
MTATP8P2
MRPL1
MRPL10
MRPL11
MRPL12
MRPL13
MRPL14
MRPL15
MRPL15P1
MRPL16
MRPL17
MRPL18
MRPL19
MRPL2
MRPL20
MRPL20P1
MRPL21
MRPL22
MRPL23
MRPL24
MRPL27
MRPL28
MRPL2P1
MRPL3
MRPL30
MRPL30P1
MRPL32
MRPL33
MRPL34
MRPL35
MRPL35P2
MRPL35P3
MRPL36
MRPL37
MRPL37P1
MRPL38
MRPL39
MRPL3P1
MRPL4
MRPL40
MRPL40P1
MRPL41
MRPL42
MRPL42P2
MRPL42P6
MRPL43
MRPL44
MRPL45
MRPL45P1
MRPL45P2
MRPL46
MRPL47
MRPL48
MRPL48P1
MRPL49
MRPL50
MRPL51
MRPL52
MRPL53
MRPL54
MRPL55
MRPL57
MRPL57P8
MRPL58
MRPL9
MRPS10
MRPS11
MRPS12
MRPS14
MRPS15
MRPS15P1
MRPS16
MRPS17
MRPS17P1
MRPS18A
MRPS18AP1
MRPS18B
MRPS18C
MRPS18CP6
MRPS2
MRPS21
MRPS21P1
MRPS22
MRPS23
MRPS24
MRPS25
MRPS26
MRPS27
MRPS28
MRPS30
MRPS30-DT
MRPS31
MRPS31P1
MRPS31P2
MRPS31P4
MRPS31P5
MRPS33
MRPS34
MRPS35
MRPS36
MRPS36P1
MRPS36P4
MRPS5
MRPS6
MRPS7
MRPS9
MTRNR2L1
MTRNR2L10
MTRNR2L11
MTRNR2L12
MTRNR2L2
MTRNR2L3
MTRNR2L4
MTRNR2L6
MTRNR2L7
MTRNR2L8
MTRNR2L9
MTRF1
MTRF1L
RPL10
RPL10A
RPL10AP1
RPL10AP2
RPL10AP6
RPL10L
RPL10P1
RPL10P12
RPL10P13
RPL10P14
RPL10P15
RPL10P16
RPL10P19
RPL10P2
RPL10P3
RPL10P4
RPL10P5
RPL10P6
RPL10P7
RPL10P8
RPL10P9
RPL11
RPL11P3
RPL11P4
RPL12
RPL12P1
RPL12P10
RPL12P11
RPL12P12
RPL12P13
RPL12P14
RPL12P15
RPL12P17
RPL12P19
RPL12P2
RPL12P20
RPL12P21
RPL12P25
RPL12P26
RPL12P27
RPL12P29
RPL12P30
RPL12P32
RPL12P33
RPL12P35
RPL12P37
RPL12P38
RPL12P4
RPL12P41
RPL12P42
RPL12P45
RPL12P47
RPL12P50
RPL12P6
RPL12P7
RPL12P8
RPL13
RPL13A
RPL13AP17
RPL13AP2
RPL13AP20
RPL13AP23
RPL13AP25
RPL13AP3
RPL13AP5
RPL13AP6
RPL13AP7
RPL13P12
RPL13P2
RPL13P5
RPL14
RPL14P1
RPL14P3
RPL14P5
RPL15
RPL15P13
RPL15P14
RPL15P18
RPL15P2
RPL15P20
RPL15P21
RPL15P3
RPL17
RPL17P1
RPL17P10
RPL17P12
RPL17P22
RPL17P26
RPL17P3
RPL17P33
RPL17P34
RPL17P36
RPL17P40
RPL17P41
RPL17P43
RPL17P50
RPL17P51
RPL18
RPL18A
RPL18AP16
RPL18AP3
RPL18AP7
RPL18P10
RPL18P11
RPL18P13
RPL19
RPL19P11
RPL19P14
RPL19P16
RPL19P21
RPL21
RPL21P1
RPL21P10
RPL21P106
RPL21P11
RPL21P110
RPL21P111
RPL21P116
RPL21P119
RPL21P12
RPL21P120
RPL21P121
RPL21P122
RPL21P123
RPL21P127
RPL21P129
RPL21P13
RPL21P131
RPL21P132
RPL21P133
RPL21P134
RPL21P135
RPL21P136
RPL21P16
RPL21P17
RPL21P18
RPL21P2
RPL21P23
RPL21P28
RPL21P3
RPL21P32
RPL21P33
RPL21P39
RPL21P4
RPL21P40
RPL21P42
RPL21P44
RPL21P5
RPL21P50
RPL21P54
RPL21P65
RPL21P67
RPL21P7
RPL21P71
RPL21P75
RPL21P8
RPL21P88
RPL21P89
RPL21P90
RPL21P91
RPL21P92
RPL21P93
RPL21P99
RPL22
RPL22L1
RPL22P1
RPL22P10
RPL22P13
RPL22P16
RPL22P18
RPL22P19
RPL22P2
RPL22P20
RPL22P23
RPL22P24
RPL22P3
RPL22P8
RPL23
RPL23A
RPL23AP11
RPL23AP12
RPL23AP15
RPL23AP18
RPL23AP2
RPL23AP23
RPL23AP25
RPL23AP28
RPL23AP3
RPL23AP31
RPL23AP32
RPL23AP34
RPL23AP35
RPL23AP37
RPL23AP38
RPL23AP42
RPL23AP43
RPL23AP49
RPL23AP53
RPL23AP56
RPL23AP57
RPL23AP58
RPL23AP6
RPL23AP61
RPL23AP64
